givenname,needs.change,lookup.genus,lookup.epithet
Achillea millefolium,no,,
Aconitum columbianum,no,,
Aconitum columbinaum,yes,Aconitum,columbianum
Agastache urticifolia,no,,
Agoseris aurantiaca,no,,
Agoseris glauca,no,,
Allium geyeri,no,,
Amelanchier pumila,no,,
Amerosedum lanceolatum,no,,
Androsace septentrionalis,no,,
Angelica grayi,no,,
Antennaria pulcherrima,no,,
Anticlea elegans,no,,
Aquilegia caerulea,yes,Aquilegia,coerulea
Aquilegia coerulea,no,,
Arabis drummondii,no,,
Arenaria congesta,no,,
Arenaria fendleri,no,,
Arnica chamissonis,no,,
Arnica cordifolia,no,,
Artemisia dracunculus,no,,
Artemisia tridentata,no,,
Aster engelmanii,yes,Aster,engelmannii
Aster engelmannii,no,,
Astragalus alpinus,no,,
Barbarea vulgaris,no,,
Bromus sp.,no,,
Calochortus gunnisonii,no,,
Campanula rotundifolia,no,,
Cardamine cordifolia,no,,
Carex geyeri,no,,
Carex sp.,no,,
Castilleja linariaefolia,no,,
Castilleja linariifolia,yes,Castilleja,linariaefolia
Castilleja miniata,yes,Castilleja,linariaefolia
Castilleja sulphurea,no,,
Ceratochloa carinata,no,,
Chamerion angustifolium,no,,
Chenopodium album,no,,
Chenopodium foliosum,no,,
Cirsium sp.,no,,
Claytonia lanceolata,no,,
Collomia heterophylla,no,,
Collomia linearis,no,,
Corallorhiza trifida,no,,
Dasiphora fruticosa,no,,
Delete ,yes,??,
Delphinium barbeyi,no,,
Delphinium nuttallianium,yes,Delphinium,nuttallianum
Delphinium nuttallianum,no,,
Deschampsia caespitosa,no,,
Descurainea richardsonii,yes,Descurainia,richardsonii
Descurainia richardsonii,no,,
Dodecatheon pulchellum,no,,
Draba aurea,no,,
Draba nemorosa,no,,
Dugaldia hoopesii,no,,
Elymus glaucus,no,,
Elymus longifolius,no,,
Elymus trachycaulis,no,,
Elymus trachycaulus,yes,Elymus,trachycaulis
Epilobium brachycarpum,no,,
Epilobium lactiflorum,no,,
Epilobium saximontanum,no,,
Erigeron coulteri,no,,
Erigeron elatior,no,,
Erigeron flagellaris,no,,
Erigeron speciosus,no,,
Eriogonum subalpinum,no,,
Eriogonum umbellatum,no,,
Erysimum asperum,no,,
Erysimum capitatum,no,,
Erythonium grandiflorum,yes,Erythronium,grandiflorum
Erythrocoma triflora,no,,
Erythronium grandiflorum,no,,
Festuca thurberi,no,,
Fragaria virginiana,no,,
Frasera speciosa,no,,
Galium bifolium,no,,
Galium boreale,no,,
Galium septentrionale,no,,
Gayophytum ramosissimum,no,,
Gentiana acuta,yes,Gentianella,acuta
Gentianella acuta,no,,
Gentianopsis barbellata,no,,
Gentianopsis thermalis,no,,
Geranium richardsonii,no,,
Geum triflorum,no,,
Gnaphalium uliginosum,no,,
Hackelia floribunda,no,,
Helianthella quinquenervis,no,,
Heliomeris multiflora,no,,
Heracleum maximum,no,,
Heterotheca villosa,no,,
Heuchera parviflora,no,,
Hydrophyllum capitatum,no,,
Hydrophyllum captitatum,yes,Hydrophyllum,capitatum
Hydrophyllum fendleri,no,,
Ipomopsis aggregata,no,,
Koeleria macrantha,no,,
Lathyrus leucanthus,no,,
Ligularia bigelovii,no,,
Ligusticum porteri,no,,
Limnorchis hyperborea,no,,
Linum lewisii,no,,
Listera borealis,no,,
Lithophragma glabrum,no,,
Lomatium dissectum,no,,
Lonicera involucrata,no,,
Lupinus amplus,no,,
Lupinus sp.,no,,
Lychnis apetala,no,,
Mahonia repens,no,,
Maianthemum stellata,yes,Maianthemum,stellatum
Maianthemum stellatum,no,,
Medicago lupulina,no,,
Melica spectabilis,no,,
Mertensia ciliata,no,,
Mertensia fusiformis,no,,
Mimulus guttatus,no,,
Mitella pentandra,no,,
Moehringia lateriflora,no,,
Muhlenbergia montana,no,,
Noccaea montana,no,,
Oligosporus dracunculus,no,,
Oreochrysum parryi,no,,
Orobanche fasciculata,no,,
Orobanche uniflora,no,,
Orthocarpus luteus,no,,
Osmorhiza occidentale,yes,Osmorhiza,occidentalis
Osmorhiza occidentalis,no,,
Oxypolis fendleri,no,,
Oxytropis deflexa,no,,
Paxistima myrsinites,no,,
Pedicularis bracteosa,no,,
Pedicularis groenlandica,no,,
Phacelia heterophylla,no,,
Phleum commutatum,no,,
Pneumonanthe parryi,no,,
Poa pratensis,no,,
Poa sp.,no,,
Poa tracyi,no,,
Polygonum aviculare,,,
Polygonum douglasii,no,,
Polygonum viviparum,no,,
Potentilla gracilis v. pulcherrima Potentilla gracilis v. pulcherrima,yes,Potentilla,gracilis v. pulcherrima
Potentilla hippiana,no,,
Pseudocymopterus montanus,no,,
Psychrophila leptosepala,no,,
Pyrrocoma crocea,no,,
Ranunculus inamoenus,no,,
Rosa woodsii,no,,
Salix brachycarpa,no,,
Salix drummondiana,no,,
Salix geyeriana,no,,
Salix monticola,no,,
Salix sp.,no,,
Salix wolfii,no,,
Saxifraga cornua,no,,
Sedum rosea,no,,
Senecio bigelovii,yes,Ligularia,bigelovii
Senecio integerimus,yes,Senecio,integerrimus
Senecio integerrimus,no,,
Senecio serra,no,,
Senecio triangularis,no,,
Sidalcea candida,no,,
Silene antirrhina,no,,
Solidago multiradiata,no,,
Stellaria longifolia,no,,
Stipa lettermanii,no,,
Stipa lettermannii,yes,Stipa,lettermanii
Swertia perennis,no,,
Symphyotrichum foliaceum,no,,
Taraxacum officinale,no,,
Thalictrum fendleri,no,,
Thlaspi alpestre,no,,
Thlaspi arvense,no,,
Total Flowers,yes,??,
Tragopogon dubius,no,,
Trifolium hybridum,no,,
Trifolium longipes,no,,
Trifolium pratense,no,,
Trifolium repens,no,,
Trisetum spicatum,no,,
unkngrass ,no,,
Valeriana capitata,no,,
Valeriana edulis,no,,
Valeriana occidentalis,yes,Valeriana,capitata
Veratrum tenuipetalum,no,,
Vicia americana,no,,
Viola adunca,no,,
Viola nutallii,yes,Viola,nuttallii
Viola nuttallii,no,,
Viola praemorsa,no,,