file,species,date,capitula,clusters,flowers,inflorescences,other,plants,unknown1,unknown2,double.count,filelow,sp1,sp2,sp3,latbi,new.genus,new.epithet
rocky meadow plot #1 - 1997,"grass, tight inflorescence, leaf sheath 2"" taller than inflorescence",5/18/97,,,,,,,,,,rocky meadow plot #1 - 1997,"grass, tight inflorescence, leaf sheath 2"" taller than inflorescence","grass, tight inflorescence, leaf sheath 2"" taller than inflorescence","grass, tight inflorescence, leaf sheath 2"" taller than inflorescence","grass, tight inflorescence, leaf sheath 2"" taller than inflorescence grass, tight inflorescence, leaf sheath 2"" taller than inflorescence grass, tight inflorescence, leaf sheath 2"" taller than inflorescence",,,
rocky meadow plot #2 - 1997,"grass, leaf blade below inflorescence about 8"" long, about 2"" taller than inflorescence, tighter inflorescence than Poa, big anthers (a bit reddish)",5/18/97,,,,,,,,,,rocky meadow plot #2 - 1997,"grass, leaf blade below inflorescence about 8"" long, about 2"" taller than inflorescence, tighter inflorescence than Poa, big anthers (a bit reddish)","grass, leaf blade below inflorescence about 8"" long, about 2"" taller than inflorescence, tighter inflorescence than Poa, big anthers (a bit reddish)","grass, leaf blade below inflorescence about 8"" long, about 2"" taller than inflorescence, tighter inflorescence than Poa, big anthers (a bit reddish)","grass, leaf blade below inflorescence about 8"" long, about 2"" taller than inflorescence, tighter inflorescence than Poa, big anthers (a bit reddish) grass, leaf blade below inflorescence about 8"" long, about 2"" taller than inflorescence, tighter inflorescence than Poa, big anthers (a bit reddish) grass, leaf blade below inflorescence about 8"" long, about 2"" taller than inflorescence, tighter inflorescence than Poa, big anthers (a bit reddish)",,,
rocky meadow plot #4 - 1997,Epilobium brachycarpum,5/18/97,,,,,,,,,,rocky meadow plot #4 - 1997,Epilobium,brachycarpum,,Epilobium brachycarpum ,,,
rocky meadow plot #4 - 1997,"grass, NW corner and N side, big yellow anthers, blade longer than inflorescence",5/18/97,,,,,,,,,,rocky meadow plot #4 - 1997,"grass, NW corner and N side, big yellow anthers, blade longer than inflorescence","grass, NW corner and N side, big yellow anthers, blade longer than inflorescence","grass, NW corner and N side, big yellow anthers, blade longer than inflorescence","grass, NW corner and N side, big yellow anthers, blade longer than inflorescence grass, NW corner and N side, big yellow anthers, blade longer than inflorescence grass, NW corner and N side, big yellow anthers, blade longer than inflorescence",,,
rocky meadow plot #5 - 1997,"grass, Poa-like but short (< 6""), inflorescence barely emerging from sheath",5/18/97,,,,,,,,,,rocky meadow plot #5 - 1997,"grass, Poa-like but short (< 6""), inflorescence barely emerging from sheath","grass, Poa-like but short (< 6""), inflorescence barely emerging from sheath","grass, Poa-like but short (< 6""), inflorescence barely emerging from sheath","grass, Poa-like but short (< 6""), inflorescence barely emerging from sheath grass, Poa-like but short (< 6""), inflorescence barely emerging from sheath grass, Poa-like but short (< 6""), inflorescence barely emerging from sheath",,,
rocky meadow plot #6 - 1997,"grass, NE corner, reddish node, inflorescence tighter than Poa, larger glumes",5/18/97,,,,,,,,,,rocky meadow plot #6 - 1997,"grass, NE corner, reddish node, inflorescence tighter than Poa, larger glumes","grass, NE corner, reddish node, inflorescence tighter than Poa, larger glumes","grass, NE corner, reddish node, inflorescence tighter than Poa, larger glumes","grass, NE corner, reddish node, inflorescence tighter than Poa, larger glumes grass, NE corner, reddish node, inflorescence tighter than Poa, larger glumes grass, NE corner, reddish node, inflorescence tighter than Poa, larger glumes",,,
wet meadow #3 - 1997,Agropyron trachycaulus.1,5/18/97,,,,,,,,,,wet meadow #3 - 1997,Agropyron,trachycaulus.1,,Agropyron trachycaulus.1 ,Elymus,trachycaulis,
willow-meadow interface #4 - 1997,"grass, middle of west side, bunchgrass, Poa-like but more robust",5/18/97,,,,,,,,,,willow-meadow interface #4 - 1997,"grass, middle of west side, bunchgrass, Poa-like but more robust","grass, middle of west side, bunchgrass, Poa-like but more robust","grass, middle of west side, bunchgrass, Poa-like but more robust","grass, middle of west side, bunchgrass, Poa-like but more robust grass, middle of west side, bunchgrass, Poa-like but more robust grass, middle of west side, bunchgrass, Poa-like but more robust",,,
willow-meadow interface #5 - 1997,"grass, middle of plot, tight heads, medium-length awns",5/18/97,,,,,,,,,,willow-meadow interface #5 - 1997,"grass, middle of plot, tight heads, medium-length awns","grass, middle of plot, tight heads, medium-length awns","grass, middle of plot, tight heads, medium-length awns","grass, middle of plot, tight heads, medium-length awns grass, middle of plot, tight heads, medium-length awns grass, middle of plot, tight heads, medium-length awns",,,
willow-meadow interface #5 - 1997,"grass, NW corner, like a big, spreading Poa, big flowers (same as in WM4)",5/18/97,,,,,,,,,,willow-meadow interface #5 - 1997,"grass, NW corner, like a big, spreading Poa, big flowers (same as in WM4)","grass, NW corner, like a big, spreading Poa, big flowers (same as in WM4)","grass, NW corner, like a big, spreading Poa, big flowers (same as in WM4)","grass, NW corner, like a big, spreading Poa, big flowers (same as in WM4) grass, NW corner, like a big, spreading Poa, big flowers (same as in WM4) grass, NW corner, like a big, spreading Poa, big flowers (same as in WM4)",,,
greenhouse plot #1 - 1998,"grass - W side, giant Poa??",5/2/98,,,,,,,,,,greenhouse plot #1 - 1998,"grass - W side, giant Poa??","grass - W side, giant Poa??","grass - W side, giant Poa??","grass - W side, giant Poa?? grass - W side, giant Poa?? grass - W side, giant Poa??",,,
greenhouse plot #2 - 1998,grass - pearl grass?,5/2/98,,,,,,,,,,greenhouse plot #2 - 1998,grass - pearl grass?,grass - pearl grass?,grass - pearl grass?,grass - pearl grass? grass - pearl grass? grass - pearl grass?,,,
greenhouse plot #3 - 1998,"grass - tight long spike with lots of small white anthers, medium awns",6/24/98,,,,,,,,,,greenhouse plot #3 - 1998,"grass - tight long spike with lots of small white anthers, medium awns","grass - tight long spike with lots of small white anthers, medium awns","grass - tight long spike with lots of small white anthers, medium awns","grass - tight long spike with lots of small white anthers, medium awns grass - tight long spike with lots of small white anthers, medium awns grass - tight long spike with lots of small white anthers, medium awns",Trisetum,spicatum,replaces desc in subsequent yrs; fits desc
greenhouse plot #4 - 1998,"grass - second Poa species?  Big white anthers, not very reflexed, NE side",6/24/98,,,,,,,,,,greenhouse plot #4 - 1998,"grass - second Poa species?  Big white anthers, not very reflexed, NE side","grass - second Poa species?  Big white anthers, not very reflexed, NE side","grass - second Poa species?  Big white anthers, not very reflexed, NE side","grass - second Poa species?  Big white anthers, not very reflexed, NE side grass - second Poa species?  Big white anthers, not very reflexed, NE side grass - second Poa species?  Big white anthers, not very reflexed, NE side",,,
rocky meadow #1 - 1998,"grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes",4/30/98,,,,,,,,,,rocky meadow #1 - 1998,"grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes","grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes","grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes","grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes",,,
rocky meadow #2 - 1998,"grass, leaf blade below inflorescence about 6"" long, almost as long as inflorescence, tighter inflorescence than Poa, big yellow anthers",4/30/98,,,,,,,,,,rocky meadow #2 - 1998,"grass, leaf blade below inflorescence about 6"" long, almost as long as inflorescence, tighter inflorescence than Poa, big yellow anthers","grass, leaf blade below inflorescence about 6"" long, almost as long as inflorescence, tighter inflorescence than Poa, big yellow anthers","grass, leaf blade below inflorescence about 6"" long, almost as long as inflorescence, tighter inflorescence than Poa, big yellow anthers","grass, leaf blade below inflorescence about 6"" long, almost as long as inflorescence, tighter inflorescence than Poa, big yellow anthers grass, leaf blade below inflorescence about 6"" long, almost as long as inflorescence, tighter inflorescence than Poa, big yellow anthers grass, leaf blade below inflorescence about 6"" long, almost as long as inflorescence, tighter inflorescence than Poa, big yellow anthers",,,
rocky meadow #2 - 1998,"grass - SW corner, pale green, with yellow anthers, short branches but spreading.  No awns.",4/30/98,,,,,,,,,,rocky meadow #2 - 1998,"grass - SW corner, pale green, with yellow anthers, short branches but spreading.  No awns.","grass - SW corner, pale green, with yellow anthers, short branches but spreading.  No awns.","grass - SW corner, pale green, with yellow anthers, short branches but spreading.  No awns.","grass - SW corner, pale green, with yellow anthers, short branches but spreading.  No awns. grass - SW corner, pale green, with yellow anthers, short branches but spreading.  No awns. grass - SW corner, pale green, with yellow anthers, short branches but spreading.  No awns.",,,
rocky meadow #4 - 1998,"grass, NW corner and N side, big yellow anthers, blade not longer than inflorescence; big headed Poa??",4/30/98,,,,,,,,,,rocky meadow #4 - 1998,"grass, NW corner and N side, big yellow anthers, blade not longer than inflorescence; big headed Poa??","grass, NW corner and N side, big yellow anthers, blade not longer than inflorescence; big headed Poa??","grass, NW corner and N side, big yellow anthers, blade not longer than inflorescence; big headed Poa??","grass, NW corner and N side, big yellow anthers, blade not longer than inflorescence; big headed Poa?? grass, NW corner and N side, big yellow anthers, blade not longer than inflorescence; big headed Poa?? grass, NW corner and N side, big yellow anthers, blade not longer than inflorescence; big headed Poa??",,,
wet meadow #1 - 1998,"grass - lots of tiny yellow anthers, tight head, SE corner",5/2/98,,,,,,,,,,wet meadow #1 - 1998,"grass - lots of tiny yellow anthers, tight head, SE corner","grass - lots of tiny yellow anthers, tight head, SE corner","grass - lots of tiny yellow anthers, tight head, SE corner","grass - lots of tiny yellow anthers, tight head, SE corner grass - lots of tiny yellow anthers, tight head, SE corner grass - lots of tiny yellow anthers, tight head, SE corner",,,
wet meadow #2 - 1998,"grass - tight long spike with lots of small white anthers, medium awns, N side",5/2/98,,,,,,,,,,wet meadow #2 - 1998,"grass - tight long spike with lots of small white anthers, medium awns, N side","grass - tight long spike with lots of small white anthers, medium awns, N side","grass - tight long spike with lots of small white anthers, medium awns, N side","grass - tight long spike with lots of small white anthers, medium awns, N side grass - tight long spike with lots of small white anthers, medium awns, N side grass - tight long spike with lots of small white anthers, medium awns, N side",Trisetum,spicatum,replaces desc in subsequent yrs; fits desc
wet meadow #3 - 1998,"grass - giant Poa?? Big yellow anthers, NW corner",5/2/98,,,,,,,,,,wet meadow #3 - 1998,"grass - giant Poa?? Big yellow anthers, NW corner","grass - giant Poa?? Big yellow anthers, NW corner","grass - giant Poa?? Big yellow anthers, NW corner","grass - giant Poa?? Big yellow anthers, NW corner grass - giant Poa?? Big yellow anthers, NW corner grass - giant Poa?? Big yellow anthers, NW corner",,,
willow-meadow interface #5 - 1998,"grass - tight long spike with lots of small white anthers, medium awns, middle of plot",5/2/98,,,,,,,,,,willow-meadow interface #5 - 1998,"grass - tight long spike with lots of small white anthers, medium awns, middle of plot","grass - tight long spike with lots of small white anthers, medium awns, middle of plot","grass - tight long spike with lots of small white anthers, medium awns, middle of plot","grass - tight long spike with lots of small white anthers, medium awns, middle of plot grass - tight long spike with lots of small white anthers, medium awns, middle of plot grass - tight long spike with lots of small white anthers, medium awns, middle of plot",Trisetum,spicatum,replaces desc in subsequent yrs; fits desc
erythronium meadow #1 - 1999,Agropyron spp,5/21/99,,,,,,,,,,erythronium meadow #1 - 1999,Agropyron,spp,,Agropyron spp ,Elymus,trachycaulis,
greenhouse plot #1 - 1999,"grass - W site, giant Poa??",5/21/99,,,,,,,,,,greenhouse plot #1 - 1999,"grass - W site, giant Poa??","grass - W site, giant Poa??","grass - W site, giant Poa??","grass - W site, giant Poa?? grass - W site, giant Poa?? grass - W site, giant Poa??",,,
rocky meadow #9 - 1999,"tight spike, 5-mm awns, NW corner",5/21/99,,,,,,,,,,rocky meadow #9 - 1999,"tight spike, 5-mm awns, NW corner","tight spike, 5-mm awns, NW corner","tight spike, 5-mm awns, NW corner","tight spike, 5-mm awns, NW corner tight spike, 5-mm awns, NW corner tight spike, 5-mm awns, NW corner",,,
wet meadow #2 - 1999,"Bromopsis spp. (hairy, purple)",5/21/99,,,,,,,,,,wet meadow #2 - 1999,"Bromopsis spp. (hairy, purple)","Bromopsis spp. (hairy, purple)","Bromopsis spp. (hairy, purple)","Bromopsis spp. (hairy, purple) Bromopsis spp. (hairy, purple) Bromopsis spp. (hairy, purple)",Ceratochloa,carinata,
wet meadow #3 - 1999,"Bromopsis spp. (fuzzy, purple)",5/21/99,,,,,,,,,,wet meadow #3 - 1999,"Bromopsis spp. (fuzzy, purple)","Bromopsis spp. (fuzzy, purple)","Bromopsis spp. (fuzzy, purple)","Bromopsis spp. (fuzzy, purple) Bromopsis spp. (fuzzy, purple) Bromopsis spp. (fuzzy, purple)",Ceratochloa,carinata,
willow-meadow interface #4 - 1999,Agropyron spp.,5/21/99,,,,,,,,,,willow-meadow interface #4 - 1999,Agropyron,spp.,,Agropyron spp. ,Elymus,trachycaulis,
willow-meadow interface #4 - 1999,"giant Poa?  Fat flowers, inflorescence very spread out, NW corner",5/21/99,,,,,,,,,,willow-meadow interface #4 - 1999,"giant Poa?  Fat flowers, inflorescence very spread out, NW corner","giant Poa?  Fat flowers, inflorescence very spread out, NW corner","giant Poa?  Fat flowers, inflorescence very spread out, NW corner","giant Poa?  Fat flowers, inflorescence very spread out, NW corner giant Poa?  Fat flowers, inflorescence very spread out, NW corner giant Poa?  Fat flowers, inflorescence very spread out, NW corner",,,
willow-meadow interface #5 - 1999,Chenopodium spp,5/21/99,,,,,,,,,,willow-meadow interface #5 - 1999,Chenopodium,spp,,Chenopodium spp ,,,
willow-meadow interface #5 - 1999,"grass - tight long spike with lots of small white anthers, medium awns, middle f plot",5/21/99,,,,,,,,,,willow-meadow interface #5 - 1999,"grass - tight long spike with lots of small white anthers, medium awns, middle f plot","grass - tight long spike with lots of small white anthers, medium awns, middle f plot","grass - tight long spike with lots of small white anthers, medium awns, middle f plot","grass - tight long spike with lots of small white anthers, medium awns, middle f plot grass - tight long spike with lots of small white anthers, medium awns, middle f plot grass - tight long spike with lots of small white anthers, medium awns, middle f plot",Trisetum,spicatum,replaces desc in subsequent yrs; fits desc
greenhouse plot #3 - 2000,"Bromopsis ssp. (fuzzy, purple)",4/8/00,,,,,,,,,,greenhouse plot #3 - 2000,"Bromopsis ssp. (fuzzy, purple)","Bromopsis ssp. (fuzzy, purple)","Bromopsis ssp. (fuzzy, purple)","Bromopsis ssp. (fuzzy, purple) Bromopsis ssp. (fuzzy, purple) Bromopsis ssp. (fuzzy, purple)",Ceratochloa,carinata,
rocky meadow #8 - 2000,Agropyron ssp.,4/8/00,,,,,,,,,,rocky meadow #8 - 2000,Agropyron,ssp.,,Agropyron ssp. ,Elymus,trachycaulis
willow-meadow interface #3 - 2000,"Bromopsis ssp. (purple, furry)",4/8/00,,,,,,,,,,willow-meadow interface #3 - 2000,"Bromopsis ssp. (purple, furry)","Bromopsis ssp. (purple, furry)","Bromopsis ssp. (purple, furry)","Bromopsis ssp. (purple, furry) Bromopsis ssp. (purple, furry) Bromopsis ssp. (purple, furry)",Ceratochloa,carinata
willow-meadow interface #3 - 2001,Pedicularis grayii - about 4 m east of plot,4/19/01,,,,,,,,,,willow-meadow interface #3 - 2001,Pedicularis grayii - about 4 m east of plot,Pedicularis grayii - about 4 m east of plot,Pedicularis grayii - about 4 m east of plot,Pedicularis grayii - about 4 m east of plot Pedicularis grayii - about 4 m east of plot Pedicularis grayii - about 4 m east of plot,Pedicularis,bracteosa
rocky meadow #8 - 2002,"grass - tight head, many small anthers, awns about 2 mm",4/7/02,,,,,,,,,,rocky meadow #8 - 2002,"grass - tight head, many small anthers, awns about 2 mm","grass - tight head, many small anthers, awns about 2 mm","grass - tight head, many small anthers, awns about 2 mm","grass - tight head, many small anthers, awns about 2 mm grass - tight head, many small anthers, awns about 2 mm grass - tight head, many small anthers, awns about 2 mm",,
wet meadow #4 - 2002,"grass - giant Poa? About 2 feet tall, NE corner",4/11/02,,,,,,,,,,wet meadow #4 - 2002,"grass - giant Poa? About 2 feet tall, NE corner","grass - giant Poa? About 2 feet tall, NE corner","grass - giant Poa? About 2 feet tall, NE corner","grass - giant Poa? About 2 feet tall, NE corner grass - giant Poa? About 2 feet tall, NE corner grass - giant Poa? About 2 feet tall, NE corner",,
willow-meadow interface #3 - 2003,"Pedicularis procera (grayi), about 4 m away",5/13/03,,,,,,,,,,willow-meadow interface #3 - 2003,"Pedicularis procera (grayi), about 4 m away","Pedicularis procera (grayi), about 4 m away","Pedicularis procera (grayi), about 4 m away","Pedicularis procera (grayi), about 4 m away Pedicularis procera (grayi), about 4 m away Pedicularis procera (grayi), about 4 m away",Pedicularis,bracteosa
Meadow (Enders) plot #1,Geum triflorum,6/10/04,,,13,,7,,,,,meadow (enders) plot #1,Geum,triflorum,,Geum triflorum ,Geum,triflorum
rocky meadow #6 - 2004,Muhlenbergia species (a C4 grass) ,4/2/04,,,,,,,,,,rocky meadow #6 - 2004,Muhlenbergia species (a C4 grass) ,Muhlenbergia species (a C4 grass) ,Muhlenbergia species (a C4 grass) ,Muhlenbergia species (a C4 grass)  Muhlenbergia species (a C4 grass)  Muhlenbergia species (a C4 grass) ,,
rocky meadow #8 - 2004,Epilobium (?) species just outside plot to N; get it next year,5/1/04,,,,,,,,,,rocky meadow #8 - 2004,Epilobium (?) species just outside plot to N; get it next year,Epilobium (?) species just outside plot to N; get it next year,Epilobium (?) species just outside plot to N; get it next year,Epilobium (?) species just outside plot to N; get it next year Epilobium (?) species just outside plot to N; get it next year Epilobium (?) species just outside plot to N; get it next year,Delete,
Stream (Calder) plot #1,Geum - maybe not triflorum?  ,6/10/04,,,1,,1,,,,,stream (calder) plot #1,Geum - maybe not triflorum?  ,Geum - maybe not triflorum?  ,Geum - maybe not triflorum?  ,Geum - maybe not triflorum?   Geum - maybe not triflorum?   Geum - maybe not triflorum?  ,Geum,triflorum
Stream (Calder) plot #1 - 2005,grass - very short Poa?,5/5/05,,,,,,,,,,stream (calder) plot #1 - 2005,grass - very short Poa?,grass - very short Poa?,grass - very short Poa?,grass - very short Poa? grass - very short Poa? grass - very short Poa?,,
Aspen Forest Plot #9 - 2006,Pedicularis procera (grayi),4/30/06,,,,,,,,,,aspen forest plot #9 - 2006,Pedicularis,procera,(grayi),Pedicularis procera (grayi),Pedicularis,bracteosa
Rocky Meadow #6 - updated September 2008_2006,Muhlenbergia montana (a C4 grass) ,4/28/06,,,,,,,,,,rocky meadow #6 - updated september 2008_2006,Muhlenbergia montana (a C4 grass) ,Muhlenbergia montana (a C4 grass) ,Muhlenbergia montana (a C4 grass) ,Muhlenbergia montana (a C4 grass)  Muhlenbergia montana (a C4 grass)  Muhlenbergia montana (a C4 grass) ,,
Greenhouse Plot #2 - 2007,Chenopodium foliosum,5/12/07,,,,,,,,,,greenhouse plot #2 - 2007,Chenopodium,foliosum,,Chenopodium foliosum ,,
Stream Plot #10 - 2008,grass - Trisetum? ,6/6/08,,,,,,,,,,stream plot #10 - 2008,grass,-,Trisetum?,grass - Trisetum?,Trisetum,spicatum