"givenname","sp1","sp2","sp3","latbi"
"Androsace  septentrionalis","Androsace","septentrionalis","","Androsace septentrionalis "
"Arabis  drummondii","Arabis","drummondii","","Arabis drummondii "
"Arenaria  conjesta","Arenaria","conjesta","","Arenaria conjesta "
"Chrysopsis  villosa","Chrysopsis","villosa","","Chrysopsis villosa "
"Claytonia  lanceolata","Claytonia","lanceolata","","Claytonia lanceolata "
"Collomia  linearis","Collomia","linearis","","Collomia linearis "
"Delphinium  nelsonii","Delphinium","nelsonii","","Delphinium nelsonii "
"Erigeron  speciosus","Erigeron","speciosus","","Erigeron speciosus "
"Eriogonum  umbellatum","Eriogonum","umbellatum","","Eriogonum umbellatum "
"Hydrophyllum  capitatum","Hydrophyllum","capitatum","","Hydrophyllum capitatum "
"Ipomopsis  aggregata","Ipomopsis","aggregata","","Ipomopsis aggregata "
"Lathyrus  leucanthus","Lathyrus","leucanthus","","Lathyrus leucanthus "
"Lomatium  dissectum","Lomatium","dissectum","","Lomatium dissectum "
"Mertensia  fusiformes","Mertensia","fusiformes","","Mertensia fusiformes "
"Polygonum  douglasii","Polygonum","douglasii","","Polygonum douglasii "
"Potentilla  hippiana","Potentilla","hippiana","","Potentilla hippiana "
"Taraxacum  officinale","Taraxacum","officinale","","Taraxacum officinale "
"Viola  nuttallii","Viola","nuttallii","","Viola nuttallii "
"Artemisia  tridentata","Artemisia","tridentata","","Artemisia tridentata "
"Calochortus  gunnisonii","Calochortus","gunnisonii","","Calochortus gunnisonii "
"Eriogonum  subalpinum","Eriogonum","subalpinum","","Eriogonum subalpinum "
"Mahonia  repens","Mahonia","repens","","Mahonia repens "
"Vicia  americana","Vicia","americana","","Vicia americana "
"Amelanchier  pumila","Amelanchier","pumila","","Amelanchier pumila "
"Potentilla  gracilis","Potentilla","gracilis","","Potentilla gracilis "
"Rosa  woodsii","Rosa","woodsii","","Rosa woodsii "
"Achillea  millefolium","Achillea","millefolium","","Achillea millefolium "
"Erythronium  grandiflorum","Erythronium","grandiflorum","","Erythronium grandiflorum "
"Helianthella  quinquenervis","Helianthella","quinquenervis","","Helianthella quinquenervis "
"Saxifraga  cernua","Saxifraga","cernua","","Saxifraga cernua "
"Senecio","Senecio","","","Senecio  "
"Erigeron  flagellaris","Erigeron","flagellaris","","Erigeron flagellaris "
"Erigeron","Erigeron","","","Erigeron  "
"Gnaphalium  uliginosum","Gnaphalium","uliginosum","","Gnaphalium uliginosum "
"Sedum  lanceolatum","Sedum","lanceolatum","","Sedum lanceolatum "
"Castilleja  linariaefolia","Castilleja","linariaefolia","","Castilleja linariaefolia "
"Erysimum  asperum","Erysimum","asperum","","Erysimum asperum "
"Galium  boreale","Galium","boreale","","Galium boreale "
"Orobanche  fasciculata","Orobanche","fasciculata","","Orobanche fasciculata "
"Aconitum  columbianum","Aconitum","columbianum","","Aconitum columbianum "
"Agoseris  aurantiaca","Agoseris","aurantiaca","","Agoseris aurantiaca "
"Dodecatheon  pulchellum","Dodecatheon","pulchellum","","Dodecatheon pulchellum "
"Erigeron?","Erigeron?","","","Erigeron?  "
"Erigeron  coulteri","Erigeron","coulteri","","Erigeron coulteri "
"Haplopappus  parryi","Haplopappus","parryi","","Haplopappus parryi "
"Helenium  hoopsii","Helenium","hoopsii","","Helenium hoopsii "
"Mertensia  ciliata","Mertensia","ciliata","","Mertensia ciliata "
"Osmorhiza  occidentale","Osmorhiza","occidentale","","Osmorhiza occidentale "
"Potentilla  fruticosa","Potentilla","fruticosa","","Potentilla fruticosa "
"Zygadenus  elegans","Zygadenus","elegans","","Zygadenus elegans "
"Aquilegia  caerulea","Aquilegia","caerulea","","Aquilegia caerulea "
"Castilleja  sulphurea","Castilleja","sulphurea","","Castilleja sulphurea "
"Ligusticum  porteri","Ligusticum","porteri","","Ligusticum porteri "
"Pseudocymopterus  montanus","Pseudocymopterus","montanus","","Pseudocymopterus montanus "
"Arnica  cordifolia","Arnica","cordifolia","","Arnica cordifolia "
"Cardamine  cordifolia","Cardamine","cordifolia","","Cardamine cordifolia "
"Epilobium  saximontanum","Epilobium","saximontanum","","Epilobium saximontanum "
"Geranium  richardsonii","Geranium","richardsonii","","Geranium richardsonii "
"Listera  borealis","Listera","borealis","","Listera borealis "
"Listera  cordata","Listera","cordata","","Listera cordata "
"Mitella  pentandra","Mitella","pentandra","","Mitella pentandra "
"Oxypolis  fendleri","Oxypolis","fendleri","","Oxypolis fendleri "
"Pedicularis  bracteosa","Pedicularis","bracteosa","","Pedicularis bracteosa "
"Senecio  triangularis","Senecio","triangularis","","Senecio triangularis "
"Trollius  laxus","Trollius","laxus","","Trollius laxus "
"Angelica  grayi","Angelica","grayi","","Angelica grayi "
"Caltha  leptosepala","Caltha","leptosepala","","Caltha leptosepala "
"Pyrola  asarifolia","Pyrola","asarifolia","","Pyrola asarifolia "
"Streptopus  amplexifolius","Streptopus","amplexifolius","","Streptopus amplexifolius "
"Habenaria  obtusa","Habenaria","obtusa","","Habenaria obtusa "
"Parnassia  fimbriata","Parnassia","fimbriata","","Parnassia fimbriata "
"Saxifraga  arguta","Saxifraga","arguta","","Saxifraga arguta "
"Corallorhiza  trifida","Corallorhiza","trifida","","Corallorhiza trifida "
"Epilobium  hornemanii","Epilobium","hornemanii","","Epilobium hornemanii "
"Habenaria  saccata","Habenaria","saccata","","Habenaria saccata "
"Osmorhiza  obtusa","Osmorhiza","obtusa","","Osmorhiza obtusa "
"Astragalus  alpinus","Astragalus","alpinus","","Astragalus alpinus "
"Castilleja  miniata","Castilleja","miniata","","Castilleja miniata "
"Habenaria  hyperborea","Habenaria","hyperborea","","Habenaria hyperborea "
"Hedysarum  occidentale","Hedysarum","occidentale","","Hedysarum occidentale "
"Pedicularis  groenlandica","Pedicularis","groenlandica","","Pedicularis groenlandica "
"Prunella  vulgaris","Prunella","vulgaris","","Prunella vulgaris "
"Stellaria  longipes","Stellaria","longipes","","Stellaria longipes "
"Trifolium  longipes","Trifolium","longipes","","Trifolium longipes "
"Heracleum  lanatum","Heracleum","lanatum","","Heracleum lanatum "
"Smilacina  stellata","Smilacina","stellata","","Smilacina stellata "
"Fragaria","Fragaria","","","Fragaria  "
"Lonicera  involucrata","Lonicera","involucrata","","Lonicera involucrata "
"Arnica  chamissonis?","Arnica","chamissonis?","","Arnica chamissonis? "
"Pachystima  myrsinites","Pachystima","myrsinites","","Pachystima myrsinites "
"Allium  geyeri","Allium","geyeri","","Allium geyeri "
"Haplopappus  croceus","Haplopappus","croceus","","Haplopappus croceus "
"Lupinus  argenteus ?","Lupinus","argenteus","?","Lupinus argenteus ?"
"Sedum  rosea","Sedum","rosea","","Sedum rosea "
"Senecio  bigelovii","Senecio","bigelovii","","Senecio bigelovii "
"Thlaspi  alpestre","Thlaspi","alpestre","","Thlaspi alpestre "
"Valeriana  acutiloba","Valeriana","acutiloba","","Valeriana acutiloba "
"Epilobium  angustifolium","Epilobium","angustifolium","","Epilobium angustifolium "
"Erigeron  coulteri ?","Erigeron","coulteri","?","Erigeron coulteri ?"
"Gentiana  elegans","Gentiana","elegans","","Gentiana elegans "
"Mimulus  guttatus ?","Mimulus","guttatus","?","Mimulus guttatus ?"
"Swertia  perennis","Swertia","perennis","","Swertia perennis "
"Delphinium barbeyi","Delphinium","barbeyi","","Delphinium barbeyi "
"Descurainea richardsonii","Descurainea","richardsonii","","Descurainea richardsonii "
"Draba aurea","Draba","aurea","","Draba aurea "
"Erigeron elatior","Erigeron","elatior","","Erigeron elatior "
"Hydrophyllum fendleri","Hydrophyllum","fendleri","","Hydrophyllum fendleri "
"Ranunculus inamoenus","Ranunculus","inamoenus","","Ranunculus inamoenus "
"Thalictrum fendleri","Thalictrum","fendleri","","Thalictrum fendleri "
"Thlaspi montanum","Thlaspi","montanum","","Thlaspi montanum "
"Valeriana edulis","Valeriana","edulis","","Valeriana edulis "
"Veratrum californicum","Veratrum","californicum","","Veratrum californicum "
"Barbarea vulgaris ?","Barbarea","vulgaris","?","Barbarea vulgaris ?"
"Lupinus","Lupinus","","","Lupinus  "
"Carex","Carex","","","Carex  "
"Gentiana calycosa","Gentiana","calycosa","","Gentiana calycosa "
"Gentiana thermalis???","Gentiana","thermalis???","","Gentiana thermalis??? "
"Salix","Salix","","","Salix  "
"Gentiana heterosepala","Gentiana","heterosepala","","Gentiana heterosepala "
"Campanula rotundifolia","Campanula","rotundifolia","","Campanula rotundifolia "
"Saxifraga cornua","Saxifraga","cornua","","Saxifraga cornua "
"Erigeron subalpinum","Erigeron","subalpinum","","Erigeron subalpinum "
"Castilleja linariaefolia?","Castilleja","linariaefolia?","","Castilleja linariaefolia? "
"Castilleja miniata?","Castilleja","miniata?","","Castilleja miniata? "
"Ipomopsis aggregat","Ipomopsis","aggregat","","Ipomopsis aggregat "
"Phacelia heterosepala","Phacelia","heterosepala","","Phacelia heterosepala "
"Aster?","Aster?","","","Aster?  "
"Gentiana thermalis","Gentiana","thermalis","","Gentiana thermalis "
"grass","grass","","","grass  "
"Potentilla fruiticosa","Potentilla","fruiticosa","","Potentilla fruiticosa "
"Smilacina racemosa","Smilacina","racemosa","","Smilacina racemosa "
"Crucifer","Crucifer","","","Crucifer  "
"Gayophytum ? Nuttallii","Gayophytum","?","Nuttallii","Gayophytum ? Nuttallii"
"Cirsium","Cirsium","","","Cirsium  "
"Erigeron ?","Erigeron","?","","Erigeron ? "
"Hackelia floribunda","Hackelia","floribunda","","Hackelia floribunda "
"Descurainea richarsonii","Descurainea","richarsonii","","Descurainea richarsonii "
"Fragaria ovalis","Fragaria","ovalis","","Fragaria ovalis "
"Linum lewisii","Linum","lewisii","","Linum lewisii "
"Agoseris?","Agoseris?","","","Agoseris?  "
"Orthocarpus luteus","Orthocarpus","luteus","","Orthocarpus luteus "
"small white crucifer","small","white","crucifer","small white crucifer"
"tiny yellow","tiny","yellow","","tiny yellow "
"Agoseris glauca?","Agoseris","glauca?","","Agoseris glauca? "
"Collomia heterophila","Collomia","heterophila","","Collomia heterophila "
"tiny yellow crucifer","tiny","yellow","crucifer","tiny yellow crucifer"
"Artemisia dracunculus","Artemisia","dracunculus","","Artemisia dracunculus "
"Calochortus gunnisoni","Calochortus","gunnisoni","","Calochortus gunnisoni "
"Senecio integerimus","Senecio","integerimus","","Senecio integerimus "
"Erythonium grandiflorum","Erythonium","grandiflorum","","Erythonium grandiflorum "
"Senecio  mutabilis","Senecio","mutabilis","","Senecio mutabilis "
"Castilleja","Castilleja","","","Castilleja  "
"Valeriana","Valeriana","","","Valeriana  "
"Agoseris","Agoseris","","","Agoseris  "
"Valeriana  (edulis?)","Valeriana","(edulis?)","","Valeriana (edulis?) "
"Lupinus  amplus","Lupinus","amplus","","Lupinus amplus "
"Androsace  septentionalis","Androsace","septentionalis","","Androsace septentionalis "
"Viguiera  multiflora","Viguiera","multiflora","","Viguiera multiflora "
"Lithophragma  glabrum","Lithophragma","glabrum","","Lithophragma glabrum "
"Senecio  werneriaefolius? (short)","Senecio","werneriaefolius?","(short)","Senecio werneriaefolius? (short)"
"Agoseris  glauca","Agoseris","glauca","","Agoseris glauca "
"Delphinium  barbeyii","Delphinium","barbeyii","","Delphinium barbeyii "
"Grass","Grass","","","Grass  "
"Aster  engelmanii","Aster","engelmanii","","Aster engelmanii "
"Castilleja  occidentale","Castilleja","occidentale","","Castilleja occidentale "
"Hydrophyllum??","Hydrophyllum??","","","Hydrophyllum??  "
"Minuartia??","Minuartia??","","","Minuartia??  "
"Eriogonum?","Eriogonum?","","","Eriogonum?  "
"Ligusticum ?","Ligusticum","?","","Ligusticum ? "
"Aster  laevis?","Aster","laevis?","","Aster laevis? "
"Polygonum  douglassii","Polygonum","douglassii","","Polygonum douglassii "
"Sedum  lanceolata","Sedum","lanceolata","","Sedum lanceolata "
"Artemesia  dracunculus","Artemesia","dracunculus","","Artemesia dracunculus "
"Melica  spectabilis","Melica","spectabilis","","Melica spectabilis "
"Ranunculus","Ranunculus","","","Ranunculus  "
"Happlopappus  croceus","Happlopappus","croceus","","Happlopappus croceus "
"Chrysopsis  villosus","Chrysopsis","villosus","","Chrysopsis villosus "
"Viola  nuttalii","Viola","nuttalii","","Viola nuttalii "
"Senecio  sp.","Senecio","sp.","","Senecio sp. "
"Taraxacum  officinalis","Taraxacum","officinalis","","Taraxacum officinalis "
"Fragaria  ovale","Fragaria","ovale","","Fragaria ovale "
"grass  Melica-like","grass","Melica-like","","grass Melica-like "
"Happlopappus  parryi","Happlopappus","parryi","","Happlopappus parryi "
"Viola  nutallii","Viola","nutallii","","Viola nutallii "
"Geranium  richardsoni","Geranium","richardsoni","","Geranium richardsoni "
"Valeriana  edulus","Valeriana","edulus","","Valeriana edulus "
"Cardamine  cordifloia","Cardamine","cordifloia","","Cardamine cordifloia "
"Achillea  millifolium","Achillea","millifolium","","Achillea millifolium "
"grass  feathery","grass","feathery","","grass feathery "
"Galium  bifolium","Galium","bifolium","","Galium bifolium "
"Erigeron  flagellaris?","Erigeron","flagellaris?","","Erigeron flagellaris? "
"Erigeron  flagellaris?.1","Erigeron","flagellaris?.1","","Erigeron flagellaris?.1 "
"Erigeron  lavender rays, yellow disk, glabrous bracts","Erigeron  lavender rays, yellow disk, glabrous bracts","Erigeron  lavender rays, yellow disk, glabrous bracts","Erigeron  lavender rays, yellow disk, glabrous bracts","Erigeron  lavender rays, yellow disk, glabrous bracts Erigeron  lavender rays, yellow disk, glabrous bracts Erigeron  lavender rays, yellow disk, glabrous bracts"
"Gentianella  barbellata","Gentianella","barbellata","","Gentianella barbellata "
"grass #3","grass","#3","","grass #3 "
"grass #4","grass","#4","","grass #4 "
"feathery grass","feathery","grass","","feathery grass "
"Carex  geyeri","Carex","geyeri","","Carex geyeri "
"Agoseris  (small orange)","Agoseris","(small","orange)","Agoseris (small orange)"
"tall grass","tall","grass","","tall grass "
"small, low, 5 white petals","small, low, 5 white petals","small, low, 5 white petals","small, low, 5 white petals","small, low, 5 white petals small, low, 5 white petals small, low, 5 white petals"
"grass  short spike","grass","short","spike","grass short spike"
"grass  short spikes","grass","short","spikes","grass short spikes"
"grass  feather","grass","feather","","grass feather "
"grass  spike","grass","spike","","grass spike "
"Wheat","Wheat","","","Wheat  "
"Bromus  nodding","Bromus","nodding","","Bromus nodding "
"Poa  reflexa","Poa","reflexa","","Poa reflexa "
"Delphinium  nelsoni","Delphinium","nelsoni","","Delphinium nelsoni "
"Erigeron  umbellatum","Erigeron","umbellatum","","Erigeron umbellatum "
"Poa","Poa","","","Poa  "
"Artemesia  tridentata","Artemesia","tridentata","","Artemesia tridentata "
"Arabis","Arabis","","","Arabis  "
"Stipa","Stipa","","","Stipa  "
"Erythronium  grandiflora","Erythronium","grandiflora","","Erythronium grandiflora "
"Grass(dark colored spike)","Grass(dark","colored","spike)","Grass(dark colored spike)"
"Grass(light colored spike)","Grass(light","colored","spike)","Grass(light colored spike)"
"Castilleja  (red)","Castilleja","(red)","","Castilleja (red) "
"Erigonium  umbellatum","Erigonium","umbellatum","","Erigonium umbellatum "
"Poa(grass)","Poa(grass)","","","Poa(grass)  "
"Potentilla  fruticosa (just outside plot)","Potentilla  fruticosa (just outside plot)","Potentilla  fruticosa (just outside plot)","Potentilla  fruticosa (just outside plot)","Potentilla  fruticosa (just outside plot) Potentilla  fruticosa (just outside plot) Potentilla  fruticosa (just outside plot)"
"Stipa  lettermanii?","Stipa","lettermanii?","","Stipa lettermanii? "
"Trisetum","Trisetum","","","Trisetum  "
"Erigeron  fuzzy","Erigeron","fuzzy","","Erigeron fuzzy "
"Aconitum  columbinaum","Aconitum","columbinaum","","Aconitum columbinaum "
"Bromus  (nodding)","Bromus","(nodding)","","Bromus (nodding) "
"Grass  (wheat)","Grass","(wheat)","","Grass (wheat) "
"Valeriana  acutiloba / edulis","Valeriana  acutiloba / edulis","Valeriana  acutiloba / edulis","Valeriana  acutiloba / edulis","Valeriana  acutiloba / edulis Valeriana  acutiloba / edulis Valeriana  acutiloba / edulis"
"spike, yellow anthers  (grass)","spike, yellow anthers  (grass)","spike, yellow anthers  (grass)","spike, yellow anthers  (grass)","spike, yellow anthers  (grass) spike, yellow anthers  (grass) spike, yellow anthers  (grass)"
"Stipa  lettermani","Stipa","lettermani","","Stipa lettermani "
"Campunula  rotundifolia","Campunula","rotundifolia","","Campunula rotundifolia "
"Deschampsia  caespitosa","Deschampsia","caespitosa","","Deschampsia caespitosa "
"Cirsium  hookerianum?","Cirsium","hookerianum?","","Cirsium hookerianum? "
"Polygonum  aviculare","Polygonum","aviculare","","Polygonum aviculare "
"Ligisticum  porteri","Ligisticum","porteri","","Ligisticum porteri "
"Poa  ?","Poa","?","","Poa ? "
"Silene  scouleri","Silene","scouleri","","Silene scouleri "
"annual","annual","","","annual  "
"Erigeron  sp.","Erigeron","sp.","","Erigeron sp. "
"Elymus","Elymus","","","Elymus  "
"Haplopapus  croceus","Haplopapus","croceus","","Haplopapus croceus "
"Lupinus  amplus-N plant","Lupinus","amplus-N","plant","Lupinus amplus-N plant"
"Lupinus  amplus-S plant","Lupinus","amplus-S","plant","Lupinus amplus-S plant"
"grass #1","grass","#1","","grass #1 "
"grass #2","grass","#2","","grass #2 "
"Bromus","Bromus","","","Bromus  "
"Geranium","Geranium","","","Geranium  "
"Chenopodium  album?","Chenopodium","album?","","Chenopodium album? "
"Draba  nemorosa","Draba","nemorosa","","Draba nemorosa "
"Poa?","Poa?","","","Poa?  "
"annual  [Probably Galium bifolium - dwi 3/22/03]","annual  [Probably Galium bifolium - dwi 3/22/03]","annual  [Probably Galium bifolium - dwi 3/22/03]","annual  [Probably Galium bifolium - dwi 3/22/03]","annual  [Probably Galium bifolium - dwi 3/22/03] annual  [Probably Galium bifolium - dwi 3/22/03] annual  [Probably Galium bifolium - dwi 3/22/03]"
"spike grass","spike","grass","","spike grass "
"Hydrophyllum  captitatum","Hydrophyllum","captitatum","","Hydrophyllum captitatum "
"Epilobium  lactiflorum","Epilobium","lactiflorum","","Epilobium lactiflorum "
"Carex  species B","Carex","species","B","Carex species B"
"Draba","Draba","","","Draba  "
"Mertensia","Mertensia","","","Mertensia  "
"grass (wheat)","grass","(wheat)","","grass (wheat) "
"Phleum","Phleum","","","Phleum  "
"Antennaria parvifolia","Antennaria","parvifolia","","Antennaria parvifolia "
"grass  reddish","grass","reddish","","grass reddish "
"Castilleja  red","Castilleja","red","","Castilleja red "
"Carex sp. B","Carex","sp.","B","Carex sp. B"
"Aster","Aster","","","Aster  "
"grass  compact head (Phleum?)","grass  compact head (Phleum?)","grass  compact head (Phleum?)","grass  compact head (Phleum?)","grass  compact head (Phleum?) grass  compact head (Phleum?) grass  compact head (Phleum?)"
"grass  long awns","grass","long","awns","grass long awns"
"grass  wheat","grass","wheat","","grass wheat "
"Erigeron  elatior ? (fuzzy bracts)","Erigeron  elatior ? (fuzzy bracts)","Erigeron  elatior ? (fuzzy bracts)","Erigeron  elatior ? (fuzzy bracts)","Erigeron  elatior ? (fuzzy bracts) Erigeron  elatior ? (fuzzy bracts) Erigeron  elatior ? (fuzzy bracts)"
"Arabis  not drummondii?","Arabis","not","drummondii?","Arabis not drummondii?"
"unknown, yellow flower, tiny plant","unknown, yellow flower, tiny plant","unknown, yellow flower, tiny plant","unknown, yellow flower, tiny plant","unknown, yellow flower, tiny plant unknown, yellow flower, tiny plant unknown, yellow flower, tiny plant"
"Senecio  streptanthefolius??","Senecio","streptanthefolius??","","Senecio streptanthefolius?? "
"grass - spike","grass","-","spike","grass - spike"
"grass - spikes","grass","-","spikes","grass - spikes"
"Erigeron  sp. (fuzzy bracts)","Erigeron  sp. (fuzzy bracts)","Erigeron  sp. (fuzzy bracts)","Erigeron  sp. (fuzzy bracts)","Erigeron  sp. (fuzzy bracts) Erigeron  sp. (fuzzy bracts) Erigeron  sp. (fuzzy bracts)"
"Plantago","Plantago","","","Plantago  "
"Arabis  glabra","Arabis","glabra","","Arabis glabra "
"Lychnis  apetala","Lychnis","apetala","","Lychnis apetala "
"Elymus?","Elymus?","","","Elymus?  "
"grass  Poa-like","grass","Poa-like","","grass Poa-like "
"grass with long sheath  almost as long as inflorescence","grass with long sheath  almost as long as inflorescence","grass with long sheath  almost as long as inflorescence","grass with long sheath  almost as long as inflorescence","grass with long sheath  almost as long as inflorescence grass with long sheath  almost as long as inflorescence grass with long sheath  almost as long as inflorescence"
"Poa?  reflexa?","Poa?","reflexa?","","Poa? reflexa? "
"Valeriana  capitata","Valeriana","capitata","","Valeriana capitata "
"Ranunculus  repens","Ranunculus","repens","","Ranunculus repens "
"Achillea  lanulosa","Achillea","lanulosa","","Achillea lanulosa "
"Pneumonanthe  parryi","Pneumonanthe","parryi","","Pneumonanthe parryi "
"Senecio  integerrimus (tall)","Senecio","integerrimus","(tall)","Senecio integerrimus (tall)"
"Carex ?  species","Carex","?","species","Carex ? species"
"Valeriana  edulis.1","Valeriana","edulis.1","","Valeriana edulis.1 "
"Ranunculus  repens?","Ranunculus","repens?","","Ranunculus repens? "
"Mis-identified","Mis-identified","","","Mis-identified  "
"Arabis  drummondii (purple flowers)","Arabis  drummondii (purple flowers)","Arabis  drummondii (purple flowers)","Arabis  drummondii (purple flowers)","Arabis  drummondii (purple flowers) Arabis  drummondii (purple flowers) Arabis  drummondii (purple flowers)"
"grass - wheat grass","grass - wheat grass","grass - wheat grass","grass - wheat grass","grass - wheat grass grass - wheat grass grass - wheat grass"
"grass - nodding brome","grass - nodding brome","grass - nodding brome","grass - nodding brome","grass - nodding brome grass - nodding brome grass - nodding brome"
"Mertensia  fusiformis","Mertensia","fusiformis","","Mertensia fusiformis "
"nodding brome","nodding","brome","","nodding brome "
"Polygonum  douglassi","Polygonum","douglassi","","Polygonum douglassi "
"Tragopogon  dubius","Tragopogon","dubius","","Tragopogon dubius "
"Valeriana  capitatum","Valeriana","capitatum","","Valeriana capitatum "
"Arabis - small pink flowers","Arabis - small pink flowers","Arabis - small pink flowers","Arabis - small pink flowers","Arabis - small pink flowers Arabis - small pink flowers Arabis - small pink flowers"
"Dephinium  barbeyi","Dephinium","barbeyi","","Dephinium barbeyi "
"Deschampsia? - pearl grass","Deschampsia? - pearl grass","Deschampsia? - pearl grass","Deschampsia? - pearl grass","Deschampsia? - pearl grass Deschampsia? - pearl grass Deschampsia? - pearl grass"
"Aster  engelmanii ?","Aster","engelmanii","?","Aster engelmanii ?"
"Smilicina  stellata?","Smilicina","stellata?","","Smilicina stellata? "
"Erigeron  elatior?","Erigeron","elatior?","","Erigeron elatior? "
"grass - dense head","grass - dense head","grass - dense head","grass - dense head","grass - dense head grass - dense head grass - dense head"
"Arenaria  fendleri (ID by Barb Frase)","Arenaria  fendleri (ID by Barb Frase)","Arenaria  fendleri (ID by Barb Frase)","Arenaria  fendleri (ID by Barb Frase)","Arenaria  fendleri (ID by Barb Frase) Arenaria  fendleri (ID by Barb Frase) Arenaria  fendleri (ID by Barb Frase)"
"grass - long awns","grass - long awns","grass - long awns","grass - long awns","grass - long awns grass - long awns grass - long awns"
"grass - Poa-like, NW corner","grass - Poa-like, NW corner","grass - Poa-like, NW corner","grass - Poa-like, NW corner","grass - Poa-like, NW corner grass - Poa-like, NW corner grass - Poa-like, NW corner"
"Ranunculus?","Ranunculus?","","","Ranunculus?  "
"grass - long awns.1","grass - long awns.1","grass - long awns.1","grass - long awns.1","grass - long awns.1 grass - long awns.1 grass - long awns.1"
"Poa  sp.","Poa","sp.","","Poa sp. "
"grass - Poa?  SE corner","grass - Poa?  SE corner","grass - Poa?  SE corner","grass - Poa?  SE corner","grass - Poa?  SE corner grass - Poa?  SE corner grass - Poa?  SE corner"
"grass - purple, stiff, mostly in NE corner","grass - purple, stiff, mostly in NE corner","grass - purple, stiff, mostly in NE corner","grass - purple, stiff, mostly in NE corner","grass - purple, stiff, mostly in NE corner grass - purple, stiff, mostly in NE corner grass - purple, stiff, mostly in NE corner"
"grass - purple, stiff","grass - purple, stiff","grass - purple, stiff","grass - purple, stiff","grass - purple, stiff grass - purple, stiff grass - purple, stiff"
"Senecio  werneriaefolius","Senecio","werneriaefolius","","Senecio werneriaefolius "
